Card,Count
Mountain,19
Forgotten Cave,2
Blighted Gorge,2
Tarfire,2
Cleaver Riot,1
Relentless Assault,1
Hordeling Outburst,1
Ember Hauler,1
Brittle Effigy,1
"Krenko, Mob Boss",1
Warren Instigator,1
Goblin Chieftain,1
Goblin Rabblemaster,4
Goblin Glory Chaser,1
Goblin Wardriver,2
Goblin Charbelcher,1
Goblin Razerunners,1
Goblin Ringleader,2
Goblin Goon,1
Goblin Grenade,1
Goblin Tunneler,1
Krenko's Command,3
Brute Strength,0
Foundry Street Denizen,2
Battle Squadron,1
